NR_VOTAVEL,DS_CARGO,DS_SIT_TOT_TURNO,RECEITA_TOTAL,QTD_VOTOS,CUSTO_VOTO,VR_TOTAL_BEM_CANDIDATO,Recursos_partido,Recursos_proprios,Recursos_outros_candidatos,Recursos_pessoas_fisicas,Rendimentos_aplicacoes,Financiamento_Coletivo,origens_nao_identificadas,Comercio_bens_ou_eventos,Doacoes_Internet,0.000000000,0.000000000,0.000000000,0,0
14444,DEPUTADO ESTADUAL,SUPLENTE,0.141015614976,0.01807615193,0.006007023,0.027962435,0.174907138,-0.000000945,-0.000132548,0.000000000,-0.002063099,-0.000198576,-0.003025794,#DIV/0!,,,,,,
12345,DEPUTADO ESTADUAL,ELEITO POR QP,0.124744954882,0.01706740318,0.005625918,0.083021526,0.023253815,0.697052856,-0.000132548,-0.000001775,-0.002063099,-0.000198576,-0.003025794,#DIV/0!,,,,,,
51111,DEPUTADO ESTADUAL,NÃO ELEITO,0.014890338646,0.01668110715,0.000675258,0.007135046,-0.000002047,0.004931039,-0.000132548,0.058231606,-0.002063099,-0.000198576,-0.003025794,#DIV/0!,,,,,,
13613,DEPUTADO ESTADUAL,ELEITO POR QP,0.017131998187,0.01643660939,0.000791810,0.006255469,0.008059985,0.050708897,-0.000132548,0.004398055,-0.002063099,0.306112934,-0.003025794,#DIV/0!,,,,,,
1313,DEPUTADO FEDERAL,SUPLENTE,0.062247712536,0.01597628632,0.002993336,0.004156927,0.067439952,0.019726992,-0.000132548,0.018870154,-0.002063099,0.048232440,-0.003025794,#DIV/0!,,,,,,
14614,DEPUTADO ESTADUAL,SUPLENTE,0.052995009591,0.01593562358,0.002553031,0.033644050,-0.000002047,0.069868834,0.281230043,0.054288534,-0.002063099,-0.000198576,-0.003025794,#DIV/0!,,,,,,
65113,DEPUTADO ESTADUAL,ELEITO POR QP,0.032934174888,0.01534809912,0.001642820,0.048467702,0.000000000,0.024535677,0.234476858,0.020041898,-0.002063099,-0.000198576,-0.003025794,#DIV/0!,,,,,,
11123,DEPUTADO ESTADUAL,ELEITO POR QP,0.055557852637,0.01525426203,0.002797234,0.001412714,-0.000002047,-0.000000945,0.437636313,0.041785172,-0.002063099,-0.000198576,-0.003025794,#DIV/0!,,,,,,
11022,DEPUTADO ESTADUAL,ELEITO POR MÉDIA,0.011075041555,0.01518440553,0.000549457,0.022104229,-0.000002047,0.008958826,-0.000132548,0.040003236,-0.002063099,-0.000198576,-0.003025794,#DIV/0!,,,,,,
11511,DEPUTADO ESTADUAL,ELEITO POR MÉDIA,0.059535004605,0.01493469460,0.003063637,-0.000000031,0.070683369,-0.000000945,0.024449023,-0.000001775,-0.002063099,-0.000198576,-0.003025794,#DIV/0!,,,,,,
11777,DEPUTADO ESTADUAL,SUPLENTE,0.012995040091,0.01486379546,0.000662308,0.000091061,-0.000002047,-0.000000945,0.096265770,0.012348627,-0.002063099,-0.000198576,-0.003025794,#DIV/0!,,,,,,
14111,DEPUTADO ESTADUAL,SUPLENTE,0.022591032774,0.01469749528,0.001172914,0.043433280,0.007749907,0.097344098,0.014740508,-0.000001775,-0.002063099,-0.000198576,-0.003025794,#DIV/0!,,,,,,
20333,DEPUTADO ESTADUAL,ELEITO POR QP,0.012103197021,0.01439043946,0.000636408,0.011105871,-0.000002047,0.018802451,0.054091506,0.014916481,-0.002063099,-0.000198576,-0.003025794,#DIV/0!,,,,,,
