"SQ_CANDIDATO";"NM_VOTAVEL";"NR_VOTAVEL";"SITUCAO";"DS_CARGO";"CARGO_N";"SITUCAO_N";"RECEITA_TOTAL";"QTD_VOTOS";"CUSTO_VOTO";"VR_TOTAL_BEM_CANDIDATO";"Recursos_partido";"Recursos_proprios";"Recursos_outros_candidatos";"Recursos_pessoas_fisicas";"Rendimentos_aplicacoes";"Financiamento_Coletivo";"origens_nao_identificadas";"Comercio_bens_ou_eventos";"Doacoes_Internet";"DESPESA_CONTRATADA"
170000617171;GUSTAVO HENRIQUE GRANJA CARIBÉ;28123;SUPLENTE;DEPUTADO ESTADUAL;0.7000;0.5000;0.005083168;0.0014809;0.00034324856506178674;0.0015;;;;0.005083168;;;;;;0.0036331680000000035
170000617308;JAIR DA COSTA SILVA;1220;SUPLENTE;DEPUTADO FEDERAL;0.6000;0.5000;0.000030152;0.0000088;0.00034263636363636365;0.0130334441;;0.00002;;0.000010152;;;;;;0.000019353
170000610279;FABIO BARROS E SILVA;4022;SUPLENTE;DEPUTADO FEDERAL;0.6000;0.5000;0.0040576729999999995;0.0011850;0.00034241966244725737;;0.000337673;0.0004;;0.00332;;;;;;0.002990995
170000621460;LUCIMAURO ANTONIO ALVES OLIVEIRA;13013;SUPLENTE;DEPUTADO ESTADUAL;0.7000;0.5000;0.00023;0.0000675;0.00034074074074074074;;;;;0.00023;;;;;;0.000159715
170000617029;GILBERTO LOPES DA SILVA;45777;SUPLENTE;DEPUTADO ESTADUAL;0.7000;0.5000;0.000028959999999999997;0.0000085;0.00034070588235294116;0.00008;0.000025;0.000003959999999999999;;;;;;;;0.000003959999999999999
170000610362;JOSE ADALTO DOS SANTOS;40150;ELEITO POR QP;DEPUTADO ESTADUAL;0.7000;0.2000;0.02035025;0.0060084;0.00033869665801211635;0.0015;;0.00273025;0.07;0.01062;;;;;;0.02035
170000617058;DIEGO GOMES DA SILVA;45150;SUPLENTE;DEPUTADO ESTADUAL;0.7000;0.5000;0.000026980000000000003;0.0000080;0.00033725;;0.000025;0.0000019799999999999997;;;;;;;;0.0000019799999999999997
170000617350;GERALDO DA SILVA;90999;SUPLENTE;DEPUTADO ESTADUAL;0.7000;0.5000;0.000395;0.0001178;0.0003353140916808149;0.009036024;;;0.00395;;;;;;;
170000603146;WILSON WASHINGTON CARVALHO DE LIMA;27456;SUPLENTE;DEPUTADO ESTADUAL;0.7000;0.5000;0.000279;0.0000838;0.00033293556085918854;;0.00026;;0.00019;;;;;;;0.0002
170000629523;FLAVIO BARRETO DO REGO BARROS;1101;SUPLENTE;DEPUTADO FEDERAL;0.6000;0.5000;0.0008716799999999999;0.0002649;0.0003290600226500566;0.002;;0.00028;;0.00059168;;;;;;0.00061168
